Unnamed: 0,publishedAt,title,source,sentiment_score
0,2025-01-28T16:15:30Z,Remember When Nanotech Was the Next Big Thing?,"{'id': None, 'name': 'Gizmodo.com'}",5
1,2024-12-30T15:53:47Z,The US stock market will close on January 9 in remembrance of Jimmy Carter,"{'id': 'business-insider', 'name': 'Business Insider'}",5
2,2025-01-22T15:33:56Z,"Jamie Dimon sounds the alarm on stocks, says the market is looking 'kind of inflated'","{'id': 'business-insider', 'name': 'Business Insider'}",3
3,2025-01-27T18:38:48Z,Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,"{'id': 'business-insider', 'name': 'Business Insider'}",4
4,2024-12-30T17:47:07Z,'Due for a full-blown correction': Why one CIO expects a 15% stock-market pullback early in 2025 — and how to prepare,"{'id': 'business-insider', 'name': 'Business Insider'}",3
5,2025-01-23T21:45:36Z,"Walmart's multi-store managers can now make up to $620,000","{'id': 'business-insider', 'name': 'Business Insider'}",8
6,2025-01-03T17:49:47Z,"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET","{'id': None, 'name': 'Yahoo Entertainment'}",5
7,2025-01-08T00:50:19Z,"Dow Jones Futures: Stock Market Sells Off As Nvidia, Palantir Tumble; What To Do Now","{'id': None, 'name': ""Investor's Business Daily""}",3
8,2025-01-27T16:43:15Z,U.S. stock markets tumble as investors worry about DeepSeek,"{'id': None, 'name': 'NPR'}",3
9,2025-01-29T11:30:00Z,Tech stocks stage partial recovery after market rout sparked by DeepSeek's rise,"{'id': 'business-insider', 'name': 'Business Insider'}",7
10,2025-01-21T21:09:37Z,Apple's China problems keep weighing on the stock,"{'id': 'business-insider', 'name': 'Business Insider'}",3
11,2025-01-10T14:31:01Z,"Stock market today: Dow, S&P 500, Nasdaq sink as jobs report blows past expectations","{'id': None, 'name': 'Yahoo Entertainment'}",3
12,2025-01-27T14:31:16Z,"Stock market today: Nasdaq clobbered, S&P 500 tumbles as AI fears rock Nvidia, tech stocks","{'id': None, 'name': 'Yahoo Entertainment'}",2
13,2025-01-14T12:00:00Z,Worried About a Stock Market Crash? Here's What Warren Buffett Has to Say About It.,"{'id': None, 'name': 'Yahoo Entertainment'}",5
14,2024-12-31T22:12:16Z,Dow Jones Futures: Stock Market Ends 2024 On Weak Note; Tesla Deliveries Due,"{'id': None, 'name': ""Investor's Business Daily""}",4
15,2025-01-10T14:31:01Z,"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, inflation worries","{'id': None, 'name': 'Yahoo Entertainment'}",3
16,2025-01-26T14:00:37Z,4 Things Warren Buffett Would Likely Do After a Stock Market Crash,"{'id': None, 'name': 'Yahoo Entertainment'}",5
17,2025-01-03T22:50:20Z,Newmont Corporation (NEM) Stock Declines While Market Improves: Some Information for Investors,"{'id': None, 'name': 'Yahoo Entertainment'}",3
18,2025-01-15T13:12:43Z,Honor’s Magic 7 Pro looks flagship through and through,"{'id': 'the-verge', 'name': 'The Verge'}",8
19,2025-01-03T11:07:44Z,3 US Dividend Stocks With Up To 4.8% Yield To Enhance Your Portfolio,"{'id': None, 'name': 'Yahoo Entertainment'}",8
20,2025-01-28T14:11:14Z,DeepSeek AI is crushing the competition and triggering an AI stock bloodbath,"{'id': None, 'name': 'Android Central'}",4
21,2025-01-07T20:00:49Z,"Fresh job market data, Nvidia falls from record highs: Catalysts","{'id': None, 'name': 'Yahoo Entertainment'}",5
22,2024-12-31T16:30:12Z,"35-Year-Old Dividend Investor Hits Nearly $1,000 Per Month, Shares His 10 Stock Picks – 'I'm Quite Happy With That'","{'id': None, 'name': 'Yahoo Entertainment'}",8
23,2025-01-21T15:00:41Z,"Retired Dividend Investor Earning $5,000 Per Month on $320K Investment Shares His 5 Stock Picks – 'I'm Not Your Conventional Investor'","{'id': None, 'name': 'Yahoo Entertainment'}",8
24,2025-01-04T10:46:00Z,5 Predictions for the Stock Market in 2025 -- and Which Stocks Will Soar the Most If They're Right,"{'id': None, 'name': 'Yahoo Entertainment'}",8
25,2025-01-02T14:45:00Z,"3 Ultra-Safe Vanguard ETFs to Buy, Even If There's a Stock Market Sell-Off in 2025","{'id': None, 'name': 'Yahoo Entertainment'}",7
26,2025-01-13T14:30:49Z,"Stock market today: Dow revives as Nasdaq, S&P 500 slide amid cratered hopes for 2025 rate cuts","{'id': None, 'name': 'Yahoo Entertainment'}",4
27,2025-01-10T14:31:01Z,"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, fresh inflation worries","{'id': None, 'name': 'Yahoo Entertainment'}",3
28,2025-01-16T11:00:00Z,Masayoshi Son Bet Billions on the iPhone—3 Years Before It Existed,"{'id': 'wired', 'name': 'Wired'}",6
29,2025-01-23T14:00:00Z,Nvidia’s GeForce RTX 5090 Review: A Video Card With AI,"{'id': 'wired', 'name': 'Wired'}",8
30,2025-01-29T14:40:15Z,Should Value Investors Buy Concrete Pumping Holdings (BBCP) Stock?,"{'id': None, 'name': 'Yahoo Entertainment'}",5
31,2025-01-02T19:50:04Z,Tesla Sales Drop for First Time in Over a Decade While China’s BYD Rises,"{'id': None, 'name': 'Gizmodo.com'}",3
32,2025-01-27T16:35:27Z,Nvidia sheds $600 billion in market cap as Chinese AI startup DeepSeek spurs brutal rout of tech stocks,"{'id': None, 'name': 'Yahoo Entertainment'}",3
33,2025-01-01T16:23:00Z,14 of the best specialty items to get at Aldi this month for $5 or less,"{'id': 'business-insider', 'name': 'Business Insider'}",8
34,2025-01-26T11:38:01Z,"Morgan Freeman may have scored a 3,000% return on Tesla stock: 'I'm a huge fan of Elon Musk'","{'id': 'business-insider', 'name': 'Business Insider'}",8
35,2025-01-22T18:00:00Z,"Samsung Galaxy S25 Ultra vs. OnePlus 13: A battle of big, powerful Android phones","{'id': None, 'name': 'Android Central'}",5
36,2025-01-07T09:48:19Z,"The late Charlie Munger made a contrarian bet at 99, doubling his money — and clashed with Elon Musk over taking risks","{'id': 'business-insider', 'name': 'Business Insider'}",5
37,2025-01-17T15:22:00Z,LVMH's Bernard Arnault ousts Larry Ellison as the world's 4th-richest person after gaining $15 billion in one day,"{'id': 'business-insider', 'name': 'Business Insider'}",7
38,2025-01-27T22:18:58Z,"DeepSeek unleashes ‘Janus Pro 7B’ vision model amidst AI stock bloodbath, igniting fresh fears of Chinese tech dominance","{'id': None, 'name': 'VentureBeat'}",4
39,2025-01-16T00:30:41Z,Peter Schiff Warns 'A Financial Tsunami' Will Crash US Markets As Japan's Yields Soar,"{'id': None, 'name': 'Yahoo Entertainment'}",3
40,2025-01-06T17:56:59Z,Nvidia stock jumps 4% before CEO Jensen Huang's CES keynote,"{'id': None, 'name': 'Yahoo Entertainment'}",8
41,2025-01-13T11:09:23Z,"Top 25 global banks post 27% increase in market cap in 2024, reveals GlobalData","{'id': None, 'name': 'Privatebankerinternational.com'}",9
42,2025-01-03T01:03:55Z,3 Dividend Stocks To Consider With Yields Up To 5.9%,"{'id': None, 'name': 'Yahoo Entertainment'}",8
43,2025-01-09T10:02:45Z,"'Big Short' investor Michael Burry kept quiet, piled into China tech, and won big with a stock bet in 2024","{'id': 'business-insider', 'name': 'Business Insider'}",8
44,2025-01-28T22:28:25Z,Investors more 'selective' after DeepSeek sparked tech sell-off,"{'id': None, 'name': 'Yahoo Entertainment'}",4
45,2025-01-02T12:09:14Z,"Elon Musk, Jeff Bezos, and 8 other tycoons got $500 billion richer in 2024 — and are now worth more than $2 trillion","{'id': 'business-insider', 'name': 'Business Insider'}",8
46,2025-01-27T21:40:47Z,DeepSeek Releases Open-Source AI Image Generator as American Stocks Continue to Crater,"{'id': None, 'name': 'Gizmodo.com'}",5
47,2025-01-01T14:00:00Z,2025 will be the year of EV bargains – here are the 9 best second-hand buys that I've driven,"{'id': 'techradar', 'name': 'TechRadar'}",8
48,2025-01-06T11:00:09Z,Exxon Mobil Corporation's (NYSE:XOM) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?,"{'id': None, 'name': 'Yahoo Entertainment'}",7
49,2025-01-28T15:29:16Z,"Who foresaw the DeepSeek-caused sell-off of Magnificent 7 stocks? Hedge funds, which have been cutting exposure for months","{'id': 'business-insider', 'name': 'Business Insider'}",4
50,2025-01-03T23:02:42Z,"Surgeon general warning, TikTok ban benefits: Asking for a Trend","{'id': None, 'name': 'Yahoo Entertainment'}",5
51,2025-01-28T08:00:02Z,"Investors worry DeepSeek reduces AI chip demand, but there's a case for remaining bullish on Nvidia","{'id': 'business-insider', 'name': 'Business Insider'}",5
52,2025-01-08T00:20:45Z,"Let's Be Honest, AI at CES 2025 Was All About Nvidia","{'id': None, 'name': 'CNET'}",5
53,2025-01-13T20:04:38Z,What do surging bond yields mean for your finances?,"{'id': 'abc-news', 'name': 'ABC News'}",3
54,2025-01-23T14:47:00Z,"Ford Plunges 27% in 6 Months: Buy, Sell or Hold the Stock?","{'id': None, 'name': 'Yahoo Entertainment'}",3
55,2025-01-27T18:50:56Z,DeepSeek's ultra-cost-effective AI plummets NVIDIA stock prices — wiping out $500 billion in market valuation,"{'id': None, 'name': 'Windows Central'}",3
56,2024-12-30T18:06:35Z,Cold weather forecasts for January spark a 24% surge in natural gas futures,"{'id': 'business-insider', 'name': 'Business Insider'}",7
57,2025-01-25T18:00:40Z,"Investor Hits $300K Goal With $4.4M Portfolio, Shares His Top 10 Stock Picks – 35 Years Of Investing, Strategy and Big Wins From IMMU","{'id': None, 'name': 'Yahoo Entertainment'}",10
58,2025-01-28T21:24:40Z,"DeepSeek is going to be the biggest topic in tech earnings this week, analysts say","{'id': 'business-insider', 'name': 'Business Insider'}",8
59,2024-12-31T22:24:18Z,Most Americans see economic difficulty ahead in 2025 but not Republicans,"{'id': 'business-insider', 'name': 'Business Insider'}",4
60,2025-01-18T12:27:01Z,"I'm a financial writer, but I'm not teaching my teenagers about investing. It's hard to get excited about stocks before you have an income.","{'id': 'business-insider', 'name': 'Business Insider'}",4
61,2024-12-31T21:45:00Z,MicroStrategy's Big Bet On Bitcoin Went Stratospheric,"{'id': None, 'name': 'Slashdot.org'}",8
62,2025-01-03T14:00:29Z,"Insiders At Las Vegas Sands Sold US$17m In Stock, Alluding To Potential Weakness","{'id': None, 'name': 'Yahoo Entertainment'}",3
63,2025-01-17T09:22:41Z,"Loud luxury and logo-mania need a big revival and quiet luxury needs to die if brands want to keep making money, BofA analysts say","{'id': 'business-insider', 'name': 'Business Insider'}",4
64,2025-01-29T10:37:39Z,Top White House advisor says DeepSeek may have used OpenAI's models for training,"{'id': 'business-insider', 'name': 'Business Insider'}",5
65,2025-01-06T19:56:00Z,Analysts embrace ServiceTitan’s market-share potential in parade of buy ratings,"{'id': None, 'name': 'MarketWatch'}",8
66,2025-01-10T11:19:24Z,Airbus had a way better 2024 than Boeing after delivering 766 commercial aircraft,"{'id': 'business-insider', 'name': 'Business Insider'}",8
67,2025-01-17T16:01:02Z,Intel Shares Surge 7.6% Amid Acquisition Rumors,"{'id': None, 'name': 'Yahoo Entertainment'}",8
68,2025-01-28T15:38:43Z,DeepSeek proves AI innovation isn’t ‘dictated’ by Silicon Valley,"{'id': 'the-next-web', 'name': 'The Next Web'}",7
69,2025-01-15T15:00:35Z,Dividend Investor Retired at 39 Living Off Dividend Income Shares His Top 4 Stocks – 'It's Absolutely Doable',"{'id': None, 'name': 'Yahoo Entertainment'}",8
70,2025-01-13T19:12:13Z,Why Tech Stocks Are Dropping Monday,"{'id': None, 'name': 'Investopedia'}",1
71,2025-01-28T16:45:36Z,"If You Invested $10,000 In Johnson & Johnson Stock 10 Years Ago, How Much Would You Have Now?","{'id': None, 'name': 'Yahoo Entertainment'}",5
72,2024-12-30T22:05:29Z,3 Reliable Dividend Stocks Offering Up To 9.5% Yield,"{'id': None, 'name': 'Yahoo Entertainment'}",8
73,2025-01-17T14:01:00Z,"This strategist nailed when the Trump bump would end, to the day. Now he says stocks can fall as much as 40%.","{'id': None, 'name': 'MarketWatch'}",3
74,2025-01-07T13:28:57Z,Save $80 on Premium Bowers & Wilkins Pi8 Wireless Earbuds in 4 Stunning Colors,"{'id': None, 'name': 'CNET'}",10
75,2025-01-03T16:42:23Z,"Tesla could see 40% of its profits evaporate when Trump takes office, JPMorgan warns","{'id': 'business-insider', 'name': 'Business Insider'}",3
76,2025-01-10T21:43:12Z,"How Fubo won big in its fight against giants Disney, Fox, and Warner Bros. Discovery","{'id': 'business-insider', 'name': 'Business Insider'}",8
77,2025-01-08T16:15:04Z,It's Wall Street bonus season: Here's when the biggest banks are expected to tell employees how much they made,"{'id': 'business-insider', 'name': 'Business Insider'}",7
78,2025-01-28T14:36:04Z,Is Public Storage (PSA) the Best REIT Stock to Buy Now?,"{'id': None, 'name': 'Yahoo Entertainment'}",5
79,2024-12-30T13:36:11Z,Ad industry insiders break down the M&A deals they think could shake up the industry in 2025,"{'id': 'business-insider', 'name': 'Business Insider'}",5
80,2025-01-27T18:22:00Z,Nvidia Stock Price Colossally Crashes After New DeepSeek AI Model Emerges,"{'id': None, 'name': 'GameSpot'}",2
81,2025-01-12T17:29:57Z,Jim Cramer Says NuScale Power Corporation (SMR) and Other Smaller Companies That Offer Alternatives To The Current Nuclear Power Plants ‘Worry Him’,"{'id': None, 'name': 'Yahoo Entertainment'}",4
82,2025-01-07T12:46:32Z,Mark Zuckerberg and Jensen Huang jointly became $28 billion richer in 3 days as AI buzz reignites,"{'id': 'business-insider', 'name': 'Business Insider'}",8
83,2025-01-13T09:07:02Z,How devastating will the LA wildfires be? Place your bets.,"{'id': 'business-insider', 'name': 'Business Insider'}",1
84,2025-01-29T11:58:57Z,"Merck & Co., Inc. (MRK): Is This Healthcare Stock A Good Buy?","{'id': None, 'name': 'Yahoo Entertainment'}",5
85,2025-01-24T19:04:14Z,3 Dividend Stocks To Enhance Your Portfolio,"{'id': None, 'name': 'Yahoo Entertainment'}",8
86,2025-01-28T15:36:09Z,DeepSeek already had a $1 trillion impact — and it's just getting started,"{'id': None, 'name': 'Android Central'}",8
87,2024-12-30T11:00:03Z,5 ways the Trump administration could change Wall Street in 2025,"{'id': 'business-insider', 'name': 'Business Insider'}",5
88,2025-01-14T13:08:00Z,The Trump stock market rally is fading fast,"{'id': None, 'name': 'Quartz India'}",3
89,2024-12-31T10:00:00Z,2025 stock market predictions from the big banks,"{'id': None, 'name': 'Quartz India'}",5
90,2025-01-09T16:35:02Z,"5 popular sneakers you should invest in and 2 that feel like a passing trend, according to sneakerheads","{'id': 'business-insider', 'name': 'Business Insider'}",5
91,2025-01-19T01:07:32Z,Shein backlash fails to deter shoppers: 'I spend £20 a month',"{'id': None, 'name': 'BBC News'}",5
92,2025-01-18T12:23:45Z,"Forget Prismatic Evolutions, I'm Buying These UK Silver Tempest Deals","{'id': 'ign', 'name': 'IGN'}",7
93,2024-12-30T05:18:07Z,"Jim Cramer on Tesla, Inc (TSLA): ‘Shares Of Tesla Are Down About 13% Year To Date’","{'id': None, 'name': 'Yahoo Entertainment'}",4
94,2025-01-04T15:30:00Z,The “Restaurant-Quality” Frozen Pizza I’ll Stock in My Freezer Forever (I’m Never Buying Another Brand!),"{'id': None, 'name': 'Thekitchn.com'}",10
95,2025-01-27T15:43:45Z,"Nvidia, Microsoft shares tumble amid rise of China-based AI DeepSeek","{'id': 'abc-news', 'name': 'ABC News'}",3
96,2024-12-31T06:02:08Z,PharmaResearch And 2 Other Stocks That Could Be Trading Below Estimated Value,"{'id': None, 'name': 'Yahoo Entertainment'}",5
97,2025-01-09T13:00:34Z,"Apple AirPods Max Are Back in Stock at Their All-Time Low Price, and You Know They’re Selling Fast","{'id': None, 'name': 'Gizmodo.com'}",8
98,2025-01-06T04:54:04Z,"Rupee hits record low as Indian equities slide, bearish tilt persists","{'id': None, 'name': 'Yahoo Entertainment'}",3
99,2025-01-20T03:15:42Z,"Peter Lynch's Advice: 'Don't Invest in a Company Before You Look At the Financials. If You Made It Through Fifth Grade, You Can Handle the Math'","{'id': None, 'name': 'Yahoo Entertainment'}",7
