title,sentiment_score
Remember When Nanotech Was the Next Big Thing?,0
The US stock market will close on January 9 in remembrance of Jimmy Carter,1
"Jamie Dimon sounds the alarm on stocks, says the market is looking 'kind of inflated'",0
Intel's former CEO says the market is getting DeepSeek wrong after AI chip stock rout,0
'Due for a full-blown correction': Why one CIO expects a 15% stock-market pullback early in 2025 — and how to prepare,-1
"Walmart's multi-store managers can now make up to $620,000",0
"Watch the NVIDIA CES 2025 press conference live: Monday, 9:30PM ET",-1
"Dow Jones Futures: Stock Market Sells Off As Nvidia, Palantir Tumble; What To Do Now",-1
U.S. stock markets tumble as investors worry about DeepSeek,1
Tech stocks stage partial recovery after market rout sparked by DeepSeek's rise,0
Apple's China problems keep weighing on the stock,0
"Stock market today: Dow, S&P 500, Nasdaq sink as jobs report blows past expectations",-1
"Stock market today: Nasdaq clobbered, S&P 500 tumbles as AI fears rock Nvidia, tech stocks",-1
Worried About a Stock Market Crash? Here's What Warren Buffett Has to Say About It.,1
Dow Jones Futures: Stock Market Ends 2024 On Weak Note; Tesla Deliveries Due,0
"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, inflation worries",0
4 Things Warren Buffett Would Likely Do After a Stock Market Crash,-1
Newmont Corporation (NEM) Stock Declines While Market Improves: Some Information for Investors,0
Honor’s Magic 7 Pro looks flagship through and through,-1
3 US Dividend Stocks With Up To 4.8% Yield To Enhance Your Portfolio,1
DeepSeek AI is crushing the competition and triggering an AI stock bloodbath,0
"Fresh job market data, Nvidia falls from record highs: Catalysts",0
"35-Year-Old Dividend Investor Hits Nearly $1,000 Per Month, Shares His 10 Stock Picks – 'I'm Quite Happy With That'",0
"Retired Dividend Investor Earning $5,000 Per Month on $320K Investment Shares His 5 Stock Picks – 'I'm Not Your Conventional Investor'",1
"Stock market today: Dow revives as Nasdaq, S&P 500 slide amid cratered hopes for 2025 rate cuts",1
5 Predictions for the Stock Market in 2025 -- and Which Stocks Will Soar the Most If They're Right,1
"3 Ultra-Safe Vanguard ETFs to Buy, Even If There's a Stock Market Sell-Off in 2025",0
"Stock market today: Dow, S&P 500, Nasdaq sell off amid jobs report surprise, fresh inflation worries",0
Masayoshi Son Bet Billions on the iPhone—3 Years Before It Existed,-1
Nvidia’s GeForce RTX 5090 Review: A Video Card With AI,-1
Should Value Investors Buy Concrete Pumping Holdings (BBCP) Stock?,-1
Tesla Sales Drop for First Time in Over a Decade While China’s BYD Rises,-1
Nvidia sheds $600 billion in market cap as Chinese AI startup DeepSeek spurs brutal rout of tech stocks,0
14 of the best specialty items to get at Aldi this month for $5 or less,1
"Morgan Freeman may have scored a 3,000% return on Tesla stock: 'I'm a huge fan of Elon Musk'",1
"Samsung Galaxy S25 Ultra vs. OnePlus 13: A battle of big, powerful Android phones",-1
"The late Charlie Munger made a contrarian bet at 99, doubling his money — and clashed with Elon Musk over taking risks",0
LVMH's Bernard Arnault ousts Larry Ellison as the world's 4th-richest person after gaining $15 billion in one day,1
"DeepSeek unleashes ‘Janus Pro 7B’ vision model amidst AI stock bloodbath, igniting fresh fears of Chinese tech dominance",-1
Peter Schiff Warns 'A Financial Tsunami' Will Crash US Markets As Japan's Yields Soar,0
Nvidia stock jumps 4% before CEO Jensen Huang's CES keynote,1
"Top 25 global banks post 27% increase in market cap in 2024, reveals GlobalData",0
3 Dividend Stocks To Consider With Yields Up To 5.9%,0
"'Big Short' investor Michael Burry kept quiet, piled into China tech, and won big with a stock bet in 2024",0
Investors more 'selective' after DeepSeek sparked tech sell-off,-1
"Elon Musk, Jeff Bezos, and 8 other tycoons got $500 billion richer in 2024 — and are now worth more than $2 trillion",1
DeepSeek Releases Open-Source AI Image Generator as American Stocks Continue to Crater,1
2025 will be the year of EV bargains – here are the 9 best second-hand buys that I've driven,1
Exxon Mobil Corporation's (NYSE:XOM) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock?,0
"Who foresaw the DeepSeek-caused sell-off of Magnificent 7 stocks? Hedge funds, which have been cutting exposure for months",1
"Surgeon general warning, TikTok ban benefits: Asking for a Trend",0
"Investors worry DeepSeek reduces AI chip demand, but there's a case for remaining bullish on Nvidia",-1
"Let's Be Honest, AI at CES 2025 Was All About Nvidia",0
What do surging bond yields mean for your finances?,-1
"Ford Plunges 27% in 6 Months: Buy, Sell or Hold the Stock?",0
DeepSeek's ultra-cost-effective AI plummets NVIDIA stock prices — wiping out $500 billion in market valuation,0
Cold weather forecasts for January spark a 24% surge in natural gas futures,-1
"Investor Hits $300K Goal With $4.4M Portfolio, Shares His Top 10 Stock Picks – 35 Years Of Investing, Strategy and Big Wins From IMMU",0
"DeepSeek is going to be the biggest topic in tech earnings this week, analysts say",0
Most Americans see economic difficulty ahead in 2025 but not Republicans,-1
"I'm a financial writer, but I'm not teaching my teenagers about investing. It's hard to get excited about stocks before you have an income.",0
MicroStrategy's Big Bet On Bitcoin Went Stratospheric,1
"Insiders At Las Vegas Sands Sold US$17m In Stock, Alluding To Potential Weakness",1
"Loud luxury and logo-mania need a big revival and quiet luxury needs to die if brands want to keep making money, BofA analysts say",0
Top White House advisor says DeepSeek may have used OpenAI's models for training,1
Analysts embrace ServiceTitan’s market-share potential in parade of buy ratings,0
Airbus had a way better 2024 than Boeing after delivering 766 commercial aircraft,-1
Intel Shares Surge 7.6% Amid Acquisition Rumors,1
DeepSeek proves AI innovation isn’t ‘dictated’ by Silicon Valley,0
Dividend Investor Retired at 39 Living Off Dividend Income Shares His Top 4 Stocks – 'It's Absolutely Doable',0
Why Tech Stocks Are Dropping Monday,1
"If You Invested $10,000 In Johnson & Johnson Stock 10 Years Ago, How Much Would You Have Now?",-1
3 Reliable Dividend Stocks Offering Up To 9.5% Yield,0
"This strategist nailed when the Trump bump would end, to the day. Now he says stocks can fall as much as 40%.",0
Save $80 on Premium Bowers & Wilkins Pi8 Wireless Earbuds in 4 Stunning Colors,-1
"How Fubo won big in its fight against giants Disney, Fox, and Warner Bros. Discovery",-1
"Tesla could see 40% of its profits evaporate when Trump takes office, JPMorgan warns",-1
It's Wall Street bonus season: Here's when the biggest banks are expected to tell employees how much they made,1
Is Public Storage (PSA) the Best REIT Stock to Buy Now?,0
Ad industry insiders break down the M&A deals they think could shake up the industry in 2025,1
Nvidia Stock Price Colossally Crashes After New DeepSeek AI Model Emerges,0
Jim Cramer Says NuScale Power Corporation (SMR) and Other Smaller Companies That Offer Alternatives To The Current Nuclear Power Plants ‘Worry Him’,-1
Mark Zuckerberg and Jensen Huang jointly became $28 billion richer in 3 days as AI buzz reignites,0
Wall Street trader rates 12 banking and trading scenes in movies and TV,1
How devastating will the LA wildfires be? Place your bets.,0
"Merck & Co., Inc. (MRK): Is This Healthcare Stock A Good Buy?",0
3 Dividend Stocks To Enhance Your Portfolio,0
DeepSeek already had a $1 trillion impact — and it's just getting started,0
5 ways the Trump administration could change Wall Street in 2025,0
The Trump stock market rally is fading fast,0
2025 stock market predictions from the big banks,-1
"5 popular sneakers you should invest in and 2 that feel like a passing trend, according to sneakerheads",0
Shein backlash fails to deter shoppers: 'I spend £20 a month',0
"Forget Prismatic Evolutions, I'm Buying These UK Silver Tempest Deals",-1
"Jim Cramer on Tesla, Inc (TSLA): ‘Shares Of Tesla Are Down About 13% Year To Date’",0
"Nvidia, Microsoft shares tumble amid rise of China-based AI DeepSeek",1
The “Restaurant-Quality” Frozen Pizza I’ll Stock in My Freezer Forever (I’m Never Buying Another Brand!),1
PharmaResearch And 2 Other Stocks That Could Be Trading Below Estimated Value,1
"Apple AirPods Max Are Back in Stock at Their All-Time Low Price, and You Know They’re Selling Fast",1
"Rupee hits record low as Indian equities slide, bearish tilt persists",-1
